time,eua_price
1526515200,15.05
1526601600,15.20
1526947200,15.88
1527033600,15.81
1527120000,16.23
1527206400,15.89
1527552000,16.25
1527724800,15.40
1527811200,14.90
1528070400,15.28
1528156800,16.35
1528243200,15.70
1528329600,16.14
1528416000,15.78
1528675200,15.70
1528761600,15.08
1528934400,15.44
1529020800,14.62
1529280000,14.52
1529366400,14.35
1529452800,14.43
1529539200,14.20
1529625600,14.78
1529884800,15.03
1529971200,14.86
1530144000,15.22
1530230400,14.85
1530489600,14.95
1530576000,15.15
1530662400,15.35
1530748800,15.40
1530835200,15.55
1531094400,15.85
1531180800,16.15
1531353600,16.22
1531440000,15.80
1531699200,16.14
1531785600,15.87
1531872000,16.17
1531958400,16.46
1532044800,16.90
1532304000,17.20
1532390400,17.45
1532563200,16.99
1532649600,16.91
1532908800,16.90
1532995200,16.87
1533081600,17.38
1533168000,17.58
1533254400,17.62
1533513600,17.62
1533600000,17.47
1533772800,17.47
1533859200,17.72
1534118400,17.93
1534204800,18.03
1534377600,18.00
1534464000,18.10
1534723200,18.20
1534809600,18.55
1534982400,20.05
1535068800,20.55
1535414400,21.30
1535500800,20.90
1535587200,21.09
1535673600,21.11
1535932800,20.45
1536019200,20.50
1536278400,22.51
1536537600,24.85
1536624000,24.15
1536710400,23.55
1536796800,21.90
1536883200,19.51
1537142400,20.60
1537228800,20.75
1537401600,21.80
1537747200,22.39
1537833600,21.90
1537920000,20.40
1538006400,19.87
1538092800,20.30
1538352000,20.70
1538438400,21.45
1538611200,21.15
1538697600,21.14
1538956800,22.09
1539043200,21.32
1539129600,20.70
1539216000,18.57
1539302400,19.95
1539561600,20.03
1539648000,17.90
1539820800,18.53
1539907200,19.17
1540166400,19.10
1540252800,18.50
1540339200,19.10
1540425600,18.72
1540512000,18.98
1540771200,17.91
1540857600,16.87
1541030400,15.85
1541116800,16.15
1541376000,16.40
1541462400,16.99
1541548800,18.25
1541635200,19.56
1541721600,19.25
1541980800,20.01
1542067200,19.76
1542240000,18.46
1542585600,18.43
1542672000,19.40
1542758400,19.84
1542844800,20.30
1543190400,19.71
1543276800,19.77
1543449600,19.35
1543795200,20.52
1543881600,20.35
1543968000,20.21
1544054400,18.55
1544400000,19.77
1544486400,20.77
1544659200,21.88
1545004800,23.40
1546819200,23.01
1546905600,22.40
1547078400,21.40
1547424000,21.95
1547510400,22.55
1547596800,22.72
1547683200,23.55
1548028800,24.22
1548115200,24.42
1548288000,24.60
1548633600,23.01
1548720000,22.43
1548806400,22.91
1548892800,22.30
1548979200,21.38
1549238400,21.38
1549324800,22.93
1549497600,23.80
1549584000,23.28
1549843200,21.80
1549929600,21.71
1550016000,20.01
1550102400,20.86
1550188800,19.99
1550448000,20.14
1550534400,20.26
1550707200,19.85
1550793600,18.35
1551052800,18.62
1551139200,19.60
1551225600,20.31
1551312000,20.90
1551398400,21.31
1551657600,22.12
1551744000,22.86
1551916800,22.03
1552003200,22.88
1552262400,22.60
1552348800,22.48
1552435200,21.99
1552521600,22.23
1552608000,22.77
1552867200,21.50
1552953600,21.35
1553126400,21.10
1553212800,20.64
1553472000,20.60
1553558400,21.17
1553644800,21.45
1553731200,21.55
1553817600,21.83
1554076800,21.06
1554163200,21.40
1554336000,23.65
1554422400,24.17
1554681600,24.07
1554768000,25.20
1554854400,26.21
1554940800,25.88
1555027200,26.72
1555286400,27.00
1555372800,26.80
1555545600,26.92
1555977600,27.17
1556064000,27.02
1556150400,27.46
1556236800,26.79
1556496000,25.81
1556582400,25.85
1556755200,25.04
1556841600,24.32
1557187200,25.65
1557273600,25.82
1557360000,26.81
1557446400,26.35
1557705600,25.25
1557792000,25.03
1557964800,25.81
1558051200,25.01
1558310400,24.91
1558396800,25.01
1558483200,25.40
1558569600,26.05
1558656000,25.61
1559001600,25.30
1559520000,23.96
1559606400,23.86
1559692800,24.42
1559779200,24.07
1559865600,24.24
1560211200,25.12
1560384000,24.92
1560470400,24.67
1560729600,24.78
1560816000,24.98
1560902400,24.98
1560988800,24.86
1561075200,24.87
1561334400,25.64
1561593600,27.10
1561680000,26.40
1561939200,26.72
1562025600,27.22
1562112000,26.33
1562198400,26.22
1562284800,25.84
1562544000,26.60
1562630400,26.68
1562803200,28.50
1562889600,28.25
1563148800,29.15
1563235200,29.10
1563321600,27.97
1563408000,27.99
1563494400,28.15
1563753600,28.96
1563840000,29.05
1564012800,29.46
1564099200,28.51
1564358400,28.80
1564444800,28.18
1564531200,28.04
1564617600,28.90
1564704000,29.10
1564963200,28.82
1565049600,28.48
1565222400,28.68
1565308800,28.37
1565568000,27.70
1565654400,27.10
1565740800,27.15
1565827200,26.41
1565913600,26.12
1566172800,26.25
1566259200,26.94
1566432000,25.78
1566518400,25.33
1566864000,25.25
1566950400,26.00
1567036800,25.93
1567123200,26.80
1567382400,25.40
1567468800,24.82
1567728000,25.46
1567987200,25.01
1568073600,25.50
1568160000,26.68
1568246400,26.55
1568332800,26.22
1568592000,26.58
1568678400,26.75
1568851200,25.56
1568937600,26.17
1569196800,25.93
1569283200,25.59
1569369600,25.17
1569456000,25.21
1569542400,25.30
1569801600,25.03
1569888000,24.40
1570060800,24.03
1570147200,23.41
1570406400,22.77
1570492800,23.37
1570579200,22.16
1570665600,22.83
1570752000,23.62
1571011200,23.82
1571097600,24.48
1571270400,25.96
1571356800,25.64
1571616000,25.90
1571702400,25.70
1571788800,25.09
1571875200,24.61
1571961600,24.86
1572220800,24.68
1572307200,25.40
1572480000,25.95
1572566400,25.71
1572825600,24.93
1572912000,25.80
1572998400,25.10
1573084800,24.86
1573171200,24.62
1573430400,25.21
1573516800,24.95
1573689600,24.28
1573776000,23.41
1574035200,23.41
1574121600,23.62
1574208000,23.34
1574294400,23.96
1574380800,24.32
